STR_ESID;STN_LABEL;ZIP_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_TYPE;STR_STATUS;STR_OFFICIAL;STR_MODIFIED;STR_EASTING;STR_NORTHING
10259773;Salita Ines Bolla;6900 Lugano;5192;Lugano;TI;Street;real;true;16.04.2024;2717038;1096432
10243416;Al Pian;6951 Bogno;5192;Lugano;TI;Street;real;true;16.04.2024;2725468;1105540
10135794;Via Pasquée;6965 Cadro;5192;Lugano;TI;Street;real;true;16.04.2024;2719903;1100531
10254035;Route de Villaz;1691 Villarimboud;2117;Villaz;FR;Street;real;true;26.09.2023;2563624;1176174
10133090;Via Orti;6900 Lugano;5192;Lugano;TI;Street;real;true;16.04.2024;2717545;1096778
10170786;Piazza della Costa;6914 Carona;5192;Lugano;TI;Place;real;true;16.04.2024;2716007;1090708
10245996;Sentiero degli Sbris;6823 Pugerna;5192;Lugano;TI;Street;real;true;16.04.2024;2721064;1093747
10156210;Sóta ar Pónt;6967 Dino;5192;Lugano;TI;Street;real;true;19.04.2024;2719646;1101353
10261511;Via Tassino;6924 Sorengo;5192;Lugano;TI;Street;real;true;16.04.2024;2716691;1095437
10253076;Les Combes;1666 Villars-sous-Mont;2162;Bas-Intyamon;FR;Street;real;true;26.09.2023;2571630;1154957
10254027;Dorfstrasse;1792 Cordast;2262;Gurmels;FR;Street;real;true;26.09.2023;2577981;1191450
10259029;Via Padri Redentoristi;6962 Viganello;5192;Lugano;TI;Street;real;true;16.04.2024;2718387;1096615
10130143;Route des Marechets;1541 Bussy FR;2054;Estavayer;FR;Street;real;true;26.09.2023;2557616;1187283
10064649;Chemin des Marais;1470 Estavayer-le-Lac;2054;Estavayer;FR;Street;real;true;26.09.2023;2554996;1187808
10144999;Piazza Carlo Cattaneo;6976 Castagnola;5192;Lugano;TI;Place;real;true;16.04.2024;2719244;1095588
10132389;Contrada della Vicinanza;6913 Carabbia;5192;Lugano;TI;Street;real;true;16.04.2024;2716171;1092326
10091547;Chemin de l'Eglise;3280 Meyriez;2271;Meyriez;FR;Street;real;true;26.09.2023;2575024;1197080
10161358;Via Maria Luisa Albrizzi;6900 Lugano;5192;Lugano;TI;Street;real;true;16.04.2024;2717307;1095859
10246155;Piazza Castello;6900 Lugano;5192;Lugano;TI;Place;real;true;16.04.2024;2717620;1096028
10086259;Route du Cousimbert;1724 Essert FR, 1724 Montévraz, 1724 Zénauva;2220;Le Mouret;FR;Street;real;true;26.09.2023;2580105;1176493
10166957;Senté de Sorív;6968 Sonvico;5192;Lugano;TI;Street;real;true;16.04.2024;2720924;1102781
10024018;Via Chiarina Stauffacher-Vedani;6900 Lugano;5192;Lugano;TI;Street;real;true;16.04.2024;2717449;1095864
10064650;Le Piolet;1470 Estavayer-le-Lac;2054;Estavayer;FR;Street;real;true;26.09.2023;2555155;1188108
10146473;Rivetta Alfonsina Storni;6900 Lugano;5192;Lugano;TI;Street;real;true;16.04.2024;2718630;1096007
10090510;Route de la Sauge;1787 Mur (Vully) FR, 1789 Lugnorre;2284;Mont-Vully;FR;Street;real;true;26.09.2023;2571383;1199873
10245997;Sentiero delle Sorbe;6823 Pugerna;5192;Lugano;TI;Street;real;true;16.04.2024;2721150;1093522
10259527;Senté de San Remig;6556 Leggia;3832;Grono;GR;Street;real;true;16.04.2024;2733458;1124583
10257795;Zugalpweg;7250 Klosters;3871;Klosters;GR;Street;real;true;16.04.2024;2788144;1193452
10258945;Via Tischinas;7154 Ruschein;3619;Ilanz/Glion;GR;Street;real;true;16.04.2024;2733651;1182388
10261495;Via da Vastur;7554 Sent;3762;Scuol;GR;Street;real;true;16.04.2024;2819637;1189050
